Pressure,Temperature,Density,NG_TYPE,Methane,Ethane,Propane,2-methylpropane,Butane,2-metylbutane,Pentane,Octane,Toluene,Methylcyclopentane,Nitrogen,Carbon  Dioxide
45,300,313.01,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
50,300,325.06,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
55,300,335.62,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
60,300,345.0,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
65,300,353.46,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
10,310,90.73,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
15,310,142.27,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
20,310,187.25,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
25,310,222.48,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
30,310,249.6,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
35,310,271.0,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
40,310,288.44,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
45,310,303.07,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
50,310,315.64,1,0.8499,0.05529,0.02008,0.00401,0.00585,0.00169,0.00147,0.00152,0.0009,0.00102,0.03496,0.02331
